CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
506,2,10.4411,2,34.8607,2,239.3,2,0.155,1,0.0016,2,I9N-S101
508,2,10.4166,2,34.8566,2,239.2,2,0.154,1,0.0016,2,I9N-S101
510,2,10.369,2,34.8506,2,239.4,2,0.158,1,0.0016,2,I9N-S101
512,2,10.3172,2,34.8411,2,239.6,2,0.155,1,0.0016,2,I9N-S101
514,2,10.3092,2,34.8391,2,239.5,2,0.155,1,0.0016,2,I9N-S101
516,2,10.2804,2,34.8355,2,239.6,2,0.154,1,0.0016,2,I9N-S101
518,2,10.2236,2,34.8267,2,239.7,2,0.154,1,0.0016,2,I9N-S101
520,2,10.2067,2,34.8229,2,239.8,2,0.154,1,0.0016,2,I9N-S101
522,2,10.1886,2,34.8206,2,239.9,2,0.147,1,0.0016,2,I9N-S101
524,2,10.1694,2,34.8168,2,240,2,0.151,1,0.0016,2,I9N-S101
526,2,10.1487,2,34.8141,2,240,2,0.152,1,0.0016,2,I9N-S101
528,2,10.1353,2,34.8116,2,239.9,2,0.154,1,0.0012,2,I9N-S101
530,2,10.0974,2,34.8072,2,240.3,2,0.157,1,0.0012,2,I9N-S101
532,2,10.0537,2,34.7993,2,240.3,2,0.152,1,0.0012,2,I9N-S101
534,2,10.0237,2,34.7943,2,240.2,2,0.157,1,0.0012,2,I9N-S101
536,2,9.9961,2,34.7902,2,240.2,2,0.156,1,0.0012,2,I9N-S101
538,2,9.9593,2,34.7844,2,240.2,2,0.155,1,0.0012,2,I9N-S101
540,2,9.9195,2,34.7778,2,240.3,2,0.155,1,0.0008,2,I9N-S101
542,2,9.8909,2,34.7732,2,239.9,2,0.152,1,0.0008,2,I9N-S101
544,2,9.8643,2,34.7691,2,240,2,0.158,1,0.0008,2,I9N-S101
546,2,9.8317,2,34.7648,2,240.3,2,0.158,1,0.0008,2,I9N-S101
548,2,9.8143,2,34.7615,2,240.4,2,0.161,1,0.0008,2,I9N-S101
550,2,9.8031,2,34.76,2,240.5,2,0.154,1,0.0008,2,I9N-S101
552,2,9.7812,2,34.756,2,240.8,2,0.155,1,0.0008,2,I9N-S101
554,2,9.7552,2,34.7518,2,241.2,2,0.154,1,0.0008,2,I9N-S101
556,2,9.7407,2,34.749,2,241.4,2,0.154,1,0.0008,2,I9N-S101
558,2,9.7189,2,34.7463,2,241.4,2,0.157,1,0.0008,2,I9N-S101
560,2,9.6804,2,34.7411,2,241.6,2,0.155,1,0.0008,2,I9N-S101
562,2,9.6663,2,34.7385,2,241.3,2,0.152,1,0.0008,2,I9N-S101
564,2,9.6549,2,34.7363,2,241,2,0.152,1,0.0008,2,I9N-S101
566,2,9.6543,2,34.736,2,240.8,2,0.15,1,0.0008,2,I9N-S101
568,2,9.6415,2,34.7347,2,241,2,0.153,1,0.0008,2,I9N-S101
570,2,9.6064,2,34.7309,2,241.1,2,0.152,1,0.0008,2,I9N-S101
572,2,9.5829,2,34.7262,2,240.8,2,0.153,1,0.0008,2,I9N-S101
574,2,9.5688,2,34.7251,2,240.2,2,0.155,1,0.0008,2,I9N-S101
576,2,9.5388,2,34.7208,2,240,2,0.155,1,0.0008,2,I9N-S101
578,2,9.5192,2,34.7177,2,240,2,0.152,1,0.0008,2,I9N-S101
580,2,9.4824,2,34.7127,2,239.9,2,0.154,1,0.0008,2,I9N-S101
582,2,9.4597,2,34.7091,2,239.5,2,0.157,1,0.0008,2,I9N-S101
584,2,9.436,2,34.7056,2,239.4,2,0.153,1,0.0008,2,I9N-S101
586,2,9.4143,2,34.7034,2,239,2,0.157,1,0.0008,2,I9N-S101
588,2,9.3803,2,34.6987,2,238.9,2,0.157,1,0.0008,2,I9N-S101
590,2,9.3644,2,34.6959,2,238.7,2,0.164,1,0.0008,2,I9N-S101
